Year,Trade Flow Code(1=import),,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
2013,1,import,276,Germany,DEU,516,Namibia,NAM,2,Meat and edible meat offal,4641917
2013,2,export,276,Germany,DEU,516,Namibia,NAM,2,Meat and edible meat offal,286050
2013,1,import,276,Germany,DEU,528,Netherlands,NLD,2,Meat and edible meat offal,1660937474
2013,2,export,276,Germany,DEU,528,Netherlands,NLD,2,Meat and edible meat offal,1322863911
2013,2,export,276,Germany,DEU,531,Curaçao,CUW,2,Meat and edible meat offal,100144
2013,2,export,276,Germany,DEU,534,Saint Maarten,SXM,2,Meat and edible meat offal,3185
2013,1,import,276,Germany,DEU,554,New Zealand,NZL,2,Meat and edible meat offal,285927869
2013,2,export,276,Germany,DEU,554,New Zealand,NZL,2,Meat and edible meat offal,1107691
2013,2,export,276,Germany,DEU,558,Nicaragua,NIC,2,Meat and edible meat offal,39269
2013,2,export,276,Germany,DEU,562,Niger,NER,2,Meat and edible meat offal,42387
2013,2,export,276,Germany,DEU,566,Nigeria,NGA,2,Meat and edible meat offal,338141
2013,1,import,276,Germany,DEU,579,Norway,NOR,2,Meat and edible meat offal,2460217
2013,2,export,276,Germany,DEU,579,Norway,NOR,2,Meat and edible meat offal,56906728
2013,2,export,276,Germany,DEU,584,Marshall Isds,MHL,2,Meat and edible meat offal,4032
2013,2,export,276,Germany,DEU,591,Panama,PAN,2,Meat and edible meat offal,5234
2013,1,import,276,Germany,DEU,608,Philippines,PHL,2,Meat and edible meat offal,470
2013,2,export,276,Germany,DEU,608,Philippines,PHL,2,Meat and edible meat offal,54149622
2013,1,import,276,Germany,DEU,616,Poland,POL,2,Meat and edible meat offal,613753260
2013,2,export,276,Germany,DEU,616,Poland,POL,2,Meat and edible meat offal,637917858
2013,1,import,276,Germany,DEU,620,Portugal,PRT,2,Meat and edible meat offal,26552883
2013,2,export,276,Germany,DEU,620,Portugal,PRT,2,Meat and edible meat offal,29157351
2013,2,export,276,Germany,DEU,634,Qatar,QAT,2,Meat and edible meat offal,190015
2013,1,import,276,Germany,DEU,642,Romania,ROU,2,Meat and edible meat offal,9991113
2013,2,export,276,Germany,DEU,642,Romania,ROU,2,Meat and edible meat offal,155382723
2013,1,import,276,Germany,DEU,643,Russian Federation,RUS,2,Meat and edible meat offal,1796487
2013,2,export,276,Germany,DEU,643,Russian Federation,RUS,2,Meat and edible meat offal,442793005
2013,2,export,276,Germany,DEU,678,Sao Tome and Principe,STP,2,Meat and edible meat offal,624694
2013,1,import,276,Germany,DEU,682,Saudi Arabia,SAU,2,Meat and edible meat offal,467
2013,2,export,276,Germany,DEU,686,Senegal,SEN,2,Meat and edible meat offal,55679
2013,1,import,276,Germany,DEU,688,Serbia,SRB,2,Meat and edible meat offal,268
2013,2,export,276,Germany,DEU,688,Serbia,SRB,2,Meat and edible meat offal,8866423
2013,2,export,276,Germany,DEU,690,Seychelles,SYC,2,Meat and edible meat offal,408790
2013,2,export,276,Germany,DEU,694,Sierra Leone,SLE,2,Meat and edible meat offal,157754
2013,1,import,276,Germany,DEU,699,India,IND,2,Meat and edible meat offal,33885
2013,2,export,276,Germany,DEU,699,India,IND,2,Meat and edible meat offal,166856
2013,1,import,276,Germany,DEU,702,Singapore,SGP,2,Meat and edible meat offal,2044017
2013,2,export,276,Germany,DEU,702,Singapore,SGP,2,Meat and edible meat offal,6817808
2013,1,import,276,Germany,DEU,703,Slovakia,SVK,2,Meat and edible meat offal,354866
2013,2,export,276,Germany,DEU,703,Slovakia,SVK,2,Meat and edible meat offal,61741097
2013,1,import,276,Germany,DEU,704,Viet Nam,VNM,2,Meat and edible meat offal,39195
2013,2,export,276,Germany,DEU,704,Viet Nam,VNM,2,Meat and edible meat offal,10478505
2013,1,import,276,Germany,DEU,705,Slovenia,SVN,2,Meat and edible meat offal,1454867
2013,2,export,276,Germany,DEU,705,Slovenia,SVN,2,Meat and edible meat offal,32110790
2013,1,import,276,Germany,DEU,710,South Africa,ZAF,2,Meat and edible meat offal,420220
2013,2,export,276,Germany,DEU,710,South Africa,ZAF,2,Meat and edible meat offal,58167187
2013,1,import,276,Germany,DEU,716,Zimbabwe,ZWE,2,Meat and edible meat offal,133270
2013,1,import,276,Germany,DEU,724,Spain,ESP,2,Meat and edible meat offal,406080246
2013,2,export,276,Germany,DEU,724,Spain,ESP,2,Meat and edible meat offal,186029041
2013,1,import,276,Germany,DEU,752,Sweden,SWE,2,Meat and edible meat offal,9271397
2013,2,export,276,Germany,DEU,752,Sweden,SWE,2,Meat and edible meat offal,353196828
2013,1,import,276,Germany,DEU,757,Switzerland,CHE,2,Meat and edible meat offal,38812937
2013,2,export,276,Germany,DEU,757,Switzerland,CHE,2,Meat and edible meat offal,146490728
2013,2,export,276,Germany,DEU,760,Syria,SYR,2,Meat and edible meat offal,1649991
2013,1,import,276,Germany,DEU,764,Thailand,THA,2,Meat and edible meat offal,65814339
2013,2,export,276,Germany,DEU,764,Thailand,THA,2,Meat and edible meat offal,6897048
2013,2,export,276,Germany,DEU,768,Togo,TGO,2,Meat and edible meat offal,917802
2013,2,export,276,Germany,DEU,780,Trinidad and Tobago,TTO,2,Meat and edible meat offal,83454
2013,1,import,276,Germany,DEU,784,United Arab Emirates,ARE,2,Meat and edible meat offal,28541
2013,2,export,276,Germany,DEU,784,United Arab Emirates,ARE,2,Meat and edible meat offal,4947804
2013,2,export,276,Germany,DEU,788,Tunisia,TUN,2,Meat and edible meat offal,480747
2013,1,import,276,Germany,DEU,792,Turkey,TUR,2,Meat and edible meat offal,15087
2013,2,export,276,Germany,DEU,792,Turkey,TUR,2,Meat and edible meat offal,1641955
2013,2,export,276,Germany,DEU,795,Turkmenistan,TKM,2,Meat and edible meat offal,548792
2013,2,export,276,Germany,DEU,804,Ukraine,UKR,2,Meat and edible meat offal,82174544
2013,2,export,276,Germany,DEU,807,TFYR of Macedonia,MKD,2,Meat and edible meat offal,18617624
2013,2,export,276,Germany,DEU,818,Egypt,EGY,2,Meat and edible meat offal,92192
2013,1,import,276,Germany,DEU,826,United Kingdom,GBR,2,Meat and edible meat offal,223214996
2013,2,export,276,Germany,DEU,826,United Kingdom,GBR,2,Meat and edible meat offal,699294002
2013,2,export,276,Germany,DEU,837,Bunkers,,2,Meat and edible meat offal,35265053
2013,1,import,276,Germany,DEU,842,USA,USA,2,Meat and edible meat offal,115859422
2013,2,export,276,Germany,DEU,842,USA,USA,2,Meat and edible meat offal,4401488
2013,1,import,276,Germany,DEU,858,Uruguay,URY,2,Meat and edible meat offal,102286229
2013,2,export,276,Germany,DEU,858,Uruguay,URY,2,Meat and edible meat offal,92478
2013,2,export,276,Germany,DEU,860,Uzbekistan,UZB,2,Meat and edible meat offal,2597457
2013,2,export,276,Germany,DEU,887,Yemen,YEM,2,Meat and edible meat offal,32288
2013,1,import,392,Japan,JPN,32,Argentina,ARG,2,Meat and edible meat offal,2983031
2013,1,import,392,Japan,JPN,36,Australia,AUS,2,Meat and edible meat offal,1621010579
2013,1,import,392,Japan,JPN,40,Austria,AUT,2,Meat and edible meat offal,51839675
2013,2,export,392,Japan,JPN,50,Bangladesh,BGD,2,Meat and edible meat offal,1543202
2013,1,import,392,Japan,JPN,56,Belgium,BEL,2,Meat and edible meat offal,2630304
2013,1,import,392,Japan,JPN,76,Brazil,BRA,2,Meat and edible meat offal,1057287826
2013,2,export,392,Japan,JPN,116,Cambodia,KHM,2,Meat and edible meat offal,15787322
2013,1,import,392,Japan,JPN,124,Canada,CAN,2,Meat and edible meat offal,899400532
2013,2,export,392,Japan,JPN,124,Canada,CAN,2,Meat and edible meat offal,593121
2013,1,import,392,Japan,JPN,152,Chile,CHL,2,Meat and edible meat offal,170761668
2013,1,import,392,Japan,JPN,156,China,CHN,2,Meat and edible meat offal,1931361
2013,1,import,392,Japan,JPN,188,Costa Rica,CRI,2,Meat and edible meat offal,38897
2013,1,import,392,Japan,JPN,208,Denmark,DNK,2,Meat and edible meat offal,612551696
2013,1,import,392,Japan,JPN,246,Finland,FIN,2,Meat and edible meat offal,8485233
2013,1,import,392,Japan,JPN,251,France,FRA,2,Meat and edible meat offal,85401226
2013,1,import,392,Japan,JPN,276,Germany,DEU,2,Meat and edible meat offal,24860355
2013,2,export,392,Japan,JPN,276,Germany,DEU,2,Meat and edible meat offal,12255
2013,1,import,392,Japan,JPN,340,Honduras,HND,2,Meat and edible meat offal,44761
2013,2,export,392,Japan,JPN,344,"China, Hong Kong SAR",HKG,2,Meat and edible meat offal,25610042
2013,1,import,392,Japan,JPN,348,Hungary,HUN,2,Meat and edible meat offal,94808101
2013,1,import,392,Japan,JPN,352,Iceland,ISL,2,Meat and edible meat offal,3767519
2013,1,import,392,Japan,JPN,360,Indonesia,IDN,2,Meat and edible meat offal,374072
2013,1,import,392,Japan,JPN,372,Ireland,IRL,2,Meat and edible meat offal,20352616
2013,1,import,392,Japan,JPN,381,Italy,ITA,2,Meat and edible meat offal,41686593
2013,2,export,392,Japan,JPN,400,Jordan,JOR,2,Meat and edible meat offal,3197
2013,1,import,392,Japan,JPN,410,Rep. of Korea,KOR,2,Meat and edible meat offal,20207
2013,2,export,392,Japan,JPN,410,Rep. of Korea,KOR,2,Meat and edible meat offal,14704
2013,2,export,392,Japan,JPN,414,Kuwait,KWT,2,Meat and edible meat offal,10749
2013,2,export,392,Japan,JPN,418,Lao People's Dem. Rep.,LAO,2,Meat and edible meat offal,3762791
